source	symbol	field	go_type	class	kizu_type	source_owner	cleanup	evidence
internal/token/token.go	Type	-	string alias	copy	compiler::internal::token::Kind	-	none	internal/token/token.go:3-81
internal/token/token.go	Token	Type	token.Type	copy	compiler::internal::token::Kind	-	none	internal/token/token.go:83-84
internal/token/token.go	Token	Literal	string	owned bytes	std::string::String	Token	Token.deinit	internal/lexer/lexer.go:310-363
internal/token/token.go	Token	DocComments	[]string	owned list of owned bytes	std::array::Array<std::string::String>	Token	Token.deinit	internal/lexer/lexer.go:214-239
internal/token/token.go	Token	Safety	[]string	owned list of owned bytes	std::array::Array<std::string::String>	Token	Token.deinit	internal/lexer/lexer.go:214-239
internal/token/token.go	Token	Source	source.ID	copy handle	?compiler::internal::source::SourceId	compiler source map	none	internal/token/token.go; internal/source/source.go
internal/source/source.go	ID	sources	*Map	shared GC lifetime handle	explicit surrounding SourceMap owner	compiler invocation	SourceMap.deinit	internal/source/source.go
internal/source/source.go	ID	index	int	copy	SourceId.index	-	none	internal/source/source.go
internal/source/source.go	Map	files	[]File	owned source records	std::array::Array<SourceFile>	SourceMap	SourceMap.deinit	internal/source/source.go
internal/source/source.go	File	path	string	owned bytes	std::string::String	SourceMap	SourceMap.deinit	internal/source/source.go
internal/source/source.go	File	text	string	owned bytes	std::string::String	SourceMap	SourceMap.deinit	internal/source/source.go
internal/quote/quote.go	Bytes / append_bytes_literal	input / rendered bytes / return	string / string	Go borrows input bytes and returns one GC-owned ASCII spelling; Kizu borrows input bytes and appends into caller-owned storage	[]u8 / &var std::string::String / !void	caller for input and Kizu output	Go GC releases return; Kizu caller deinitializes output and retains partial storage on append failure	internal/quote/quote.go:1-35; internal/diagnostic/diagnostic.go:32-36; internal/ast/ast.go:186-188,208-212,804-807; lib/kizu/std/src/fmt/fmt.kizu:36-82
internal/diagnostic/diagnostic.go	Diagnostic	Category/Code/Message/Help	string	owned diagnostic bytes	std::string::String	Diagnostic	Diagnostic.deinit	internal/diagnostic/diagnostic.go:20-29; docs/adr/0055-std-fmt-diagnostic-formatting.md
internal/diagnostic/diagnostic.go	Diagnostic	Notes	[]string	owned list of owned note bytes	std::array::Array<std::string::String>	Diagnostic	Diagnostic.deinit cascade	internal/diagnostic/diagnostic.go:20-29,51-69
